name,description,sport_preference,min_campaign_budget,recommended_duration_weeks,location_prefix,min_impressions,max_impressions
Product 1,Description for product 1,Football,1010,3,EC1,5050,10050
Product 2,Description for product 2,Golf,1020,4,WC1,5100,10100
Product 3,Description for product 3,Cricket,1030,5,E10,5150,10150
Product 4,Description for product 4,Football,1040,2,SW1,5200,10200
Product 5,Description for product 5,Golf,1050,3,EC1,5250,10250
Product 6,Description for product 6,Cricket,1060,4,WC1,5300,10300
Product 7,Description for product 7,Football,1070,5,E10,5350,10350
Product 8,Description for product 8,Golf,1080,2,SW1,5400,10400
Product 9,Description for product 9,Cricket,1090,3,EC1,5450,10450
Product 10,Description for product 10,Football,1100,4,WC1,5500,10500
Product 11,Description for product 11,Golf,1110,5,E10,5550,10550
Product 12,Description for product 12,Cricket,1120,2,SW1,5600,10600
Product 13,Description for product 13,Football,1130,3,EC1,5650,10650
Product 14,Description for product 14,Golf,1140,4,WC1,5700,10700
Product 15,Description for product 15,Cricket,1150,5,E10,5750,10750
Product 16,Description for product 16,Football,1160,2,SW1,5800,10800
Product 17,Description for product 17,Golf,1170,3,EC1,5850,10850
Product 18,Description for product 18,Cricket,1180,4,WC1,5900,10900
Product 19,Description for product 19,Football,1190,5,E10,5950,10950
Product 20,Description for product 20,Golf,1200,2,SW1,6000,11000
Product 21,Description for product 21,Cricket,1210,3,EC1,6050,11050
Product 22,Description for product 22,Football,1220,4,WC1,6100,11100
Product 23,Description for product 23,Golf,1230,5,E10,6150,11150
Product 24,Description for product 24,Cricket,1240,2,SW1,6200,11200
Product 25,Description for product 25,Football,1250,3,EC1,6250,11250
Product 26,Description for product 26,Golf,1260,4,WC1,6300,11300
Product 27,Description for product 27,Cricket,1270,5,E10,6350,11350
Product 28,Description for product 28,Football,1280,2,SW1,6400,11400
Product 29,Description for product 29,Golf,1290,3,EC1,6450,11450
Product 30,Description for product 30,Cricket,1300,4,WC1,6500,11500
Product 31,Description for product 31,Football,1310,5,E10,6550,11550
Product 32,Description for product 32,Golf,1320,2,SW1,6600,11600
Product 33,Description for product 33,Cricket,1330,3,EC1,6650,11650
Product 34,Description for product 34,Football,1340,4,WC1,6700,11700
Product 35,Description for product 35,Golf,1350,5,E10,6750,11750
Product 36,Description for product 36,Cricket,1360,2,SW1,6800,11800
Product 37,Description for product 37,Football,1370,3,EC1,6850,11850
Product 38,Description for product 38,Golf,1380,4,WC1,6900,11900
Product 39,Description for product 39,Cricket,1390,5,E10,6950,11950
Product 40,Description for product 40,Football,1400,2,SW1,7000,12000
Product 41,Description for product 41,Golf,1410,3,EC1,7050,12050
Product 42,Description for product 42,Cricket,1420,4,WC1,7100,12100
Product 43,Description for product 43,Football,1430,5,E10,7150,12150
Product 44,Description for product 44,Golf,1440,2,SW1,7200,12200
Product 45,Description for product 45,Cricket,1450,3,EC1,7250,12250
Product 46,Description for product 46,Football,1460,4,WC1,7300,12300
Product 47,Description for product 47,Golf,1470,5,E10,7350,12350
Product 48,Description for product 48,Cricket,1480,2,SW1,7400,12400
Product 49,Description for product 49,Football,1490,3,EC1,7450,12450
Product 50,Description for product 50,Golf,1500,4,WC1,7500,12500
Product 51,Description for product 51,Cricket,1510,5,E10,7550,12550
Product 52,Description for product 52,Football,1520,2,SW1,7600,12600
Product 53,Description for product 53,Golf,1530,3,EC1,7650,12650
Product 54,Description for product 54,Cricket,1540,4,WC1,7700,12700
Product 55,Description for product 55,Football,1550,5,E10,7750,12750
Product 56,Description for product 56,Golf,1560,2,SW1,7800,12800
Product 57,Description for product 57,Cricket,1570,3,EC1,7850,12850
Product 58,Description for product 58,Football,1580,4,WC1,7900,12900
Product 59,Description for product 59,Golf,1590,5,E10,7950,12950
Product 60,Description for product 60,Cricket,1600,2,SW1,8000,13000
Product 61,Description for product 61,Football,1610,3,EC1,8050,13050
Product 62,Description for product 62,Golf,1620,4,WC1,8100,13100
Product 63,Description for product 63,Cricket,1630,5,E10,8150,13150
Product 64,Description for product 64,Football,1640,2,SW1,8200,13200
Product 65,Description for product 65,Golf,1650,3,EC1,8250,13250
Product 66,Description for product 66,Cricket,1660,4,WC1,8300,13300
Product 67,Description for product 67,Football,1670,5,E10,8350,13350
Product 68,Description for product 68,Golf,1680,2,SW1,8400,13400
Product 69,Description for product 69,Cricket,1690,3,EC1,8450,13450
Product 70,Description for product 70,Football,1700,4,WC1,8500,13500
Product 71,Description for product 71,Golf,1710,5,E10,8550,13550
Product 72,Description for product 72,Cricket,1720,2,SW1,8600,13600
Product 73,Description for product 73,Football,1730,3,EC1,8650,13650
Product 74,Description for product 74,Golf,1740,4,WC1,8700,13700
Product 75,Description for product 75,Cricket,1750,5,E10,8750,13750
Product 76,Description for product 76,Football,1760,2,SW1,8800,13800
Product 77,Description for product 77,Golf,1770,3,EC1,8850,13850
Product 78,Description for product 78,Cricket,1780,4,WC1,8900,13900
Product 79,Description for product 79,Football,1790,5,E10,8950,13950
Product 80,Description for product 80,Golf,1800,2,SW1,9000,14000
Product 81,Description for product 81,Cricket,1810,3,EC1,9050,14050
Product 82,Description for product 82,Football,1820,4,WC1,9100,14100
Product 83,Description for product 83,Golf,1830,5,E10,9150,14150
Product 84,Description for product 84,Cricket,1840,2,SW1,9200,14200
Product 85,Description for product 85,Football,1850,3,EC1,9250,14250
Product 86,Description for product 86,Golf,1860,4,WC1,9300,14300
Product 87,Description for product 87,Cricket,1870,5,E10,9350,14350
Product 88,Description for product 88,Football,1880,2,SW1,9400,14400
Product 89,Description for product 89,Golf,1890,3,EC1,9450,14450
Product 90,Description for product 90,Cricket,1900,4,WC1,9500,14500
Product 91,Description for product 91,Football,1910,5,E10,9550,14550
Product 92,Description for product 92,Golf,1920,2,SW1,9600,14600
Product 93,Description for product 93,Cricket,1930,3,EC1,9650,14650
Product 94,Description for product 94,Football,1940,4,WC1,9700,14700
Product 95,Description for product 95,Golf,1950,5,E10,9750,14750
Product 96,Description for product 96,Cricket,1960,2,SW1,9800,14800
Product 97,Description for product 97,Football,1970,3,EC1,9850,14850
Product 98,Description for product 98,Golf,1980,4,WC1,9900,14900
Product 99,Description for product 99,Cricket,1990,5,E10,9950,14950
Product 100,Description for product 100,Football,2000,2,SW1,10000,15000
